Date,Gasolene 87,Gasolene 90,Auto Diesel
2015-01-01,92.93,94.59,94.4
2015-01-08,91.93,93.59,94.4
2015-01-15,88.9,90.56,90.84
2015-01-22,89.68,91.34,89.46
2015-01-29,90.29,91.95,90.19
2015-02-05,92.8,94.46,91.85
2015-02-12,95.01,96.67,94.83
2015-02-17,96.74,98.4,95.82
2015-02-26,98.21,99.87,96.07
2015-03-05,101.68,103.34,99.17
2015-03-12,101.03,102.69,97.72
2015-03-19,103.94,105.6,99.79
2015-03-26,106.52,108.18,99.26
2015-04-02,106.44,108.1,101.21
2015-04-09,109.84,111.5,102.48
2015-04-16,108.92,110.58,102.99
2015-04-23,110.71,112.37,104.87
2015-04-30,113.32,114.98,104.81
2015-05-07,113.89,115.55,107.63
2015-05-14,112.85,114.51,107.82
2015-05-21,113.82,115.48,108.24
2015-05-28,113.65,115.31,107.39
2015-06-04,114.51,116.17,106.71
2015-06-11,115.13,116.79,105.17
2015-06-18,116.29,117.95,105.97
2015-06-25,115.28,116.94,105.42
2015-07-02,116.02,117.68,105.74
2015-07-09,116.95,118.61,103.6
2015-07-16,115.22,116.88,101.93
2015-07-23,114.13,115.79,100.33
2015-07-30,112.15,113.81,98.64
2015-08-05,112.13,113.79,96.48
2015-08-13,109.22,110.88,95.63
2015-08-20,109.28,110.94,95.81
2015-08-27,106.31,107.97,94.33
2015-09-03,104.29,105.95,95.45
2015-09-10,103.83,105.49,96.76
2015-09-17,101.89,103.55,94.33
2015-09-24,102.59,104.25,94.21
2015-10-01,102.64,104.3,94.7
2015-10-08,102.64,104.3,95.93
2015-10-15,100.69,102.35,95.83
2015-10-22,98.75,100.41,93.62
2015-10-29,98.79,100.45,92.91
2015-11-05,99.48,101.14,94.97
2015-11-11,98.24,99.9,94.5
2015-11-19,94.77,96.43,92.08
2015-11-26,94.79,96.45,89.78
2015-12-03,94.86,96.52,88.92
2015-12-10,92.64,94.3,87.23
2015-12-17,92.69,94.35,84.76
2015-12-24,90.97,92.63,83.68
2015-12-31,91.29,92.95,83.85
2016-01-07,91.38,93.04,84.12
2016-01-14,88.36,90.11,81.23
2016-01-21,86.19,87.85,78.42
2016-01-28,84.63,86.29,76.78
2016-02-04,84.76,86.42,77.11
2016-02-11,82.24,83.9,77.3
2016-02-18,81.73,83.39,75.28
2016-02-25,81.58,83.24,75.9
2016-03-03,83.75,85.3,76.63
2016-03-10,83.6,85.26,78.0
2016-03-24,87.52,89.18,79.6
2016-03-31,88.47,90.13,77.05
2016-04-07,87.53,89.19,76.84
2016-04-14,89.11,90.77,79.75
2016-04-21,90.6,92.26,81.57
2016-04-28,92.56,94.22,84.56
2016-05-05,94.19,95.85,86.26
2016-05-12,93.58,95.24,86.2
2016-05-13,101.28,102.94,93.9
2016-05-19,103.06,104.72,95.85
2016-05-26,104.98,106.64,97.56
2016-06-02,106.1,107.76,98.6
2016-06-09,106.93,108.59,99.45
2016-06-16,106.4,108.06,100.49
2016-06-23,105.99,107.65,99.94
2016-06-30,106.81,108.47,99.87
2016-07-07,106.22,107.88,100.74
2016-07-14,105.3,106.96,99.34
2016-07-21,105.16,106.82,97.85
2016-07-28,105.08,106.74,97.13
2016-08-04,103.41,105.07,94.49
2016-08-11,105.39,107.05,95.65
2016-08-18,105.16,106.82,97.63
2016-08-24,107.27,108.93,100.11
2016-09-01,109.23,110.89,100.13
2016-09-08,106.5,108.16,98.84
2016-09-15,107.76,109.42,99.59
2016-09-22,105.86,107.52,97.16
2016-09-29,106.76,108.42,98.66
2016-10-06,108.61,110.27,101.03
2016-10-13,109.86,111.52,103.01
2016-10-20,109.44,111.1,102.48
2016-10-26,109.75,111.41,102.85
2016-11-03,107.87,109.53,102.14
2016-11-10,106.06,107.72,99.41
2016-11-17,103.55,105.21,97.12
2016-11-24,101.54,103.2,95.09
2016-12-01,102.24,103.9,96.45
2016-12-08,101.41,103.07,95.38
2016-12-15,100.16,101.82,94.74
2016-12-22,98.22,99.88,94.11
2016-12-29,97.72,99.38,93.92
2017-01-05,97.32,98.98,94.12
2017-01-12,96.7,98.36,93.87
2017-01-19,96.16,97.82,93.7
2017-01-26,95.69,97.35,93.38
2017-02-02,95.68,97.34,94.34
2017-02-09,95.63,97.29,95.02
2017-02-16,96.6,98.26,94.85
2017-02-23,96.57,98.23,95.36
2017-03-02,98.16,99.82,96.53
2017-03-09,98.04,99.7,96.45
2017-03-15,104.2,105.86,103.73
2017-03-23,105.58,107.24,103.62
2017-03-30,106.54,108.2,103.38
2017-04-06,107.31,110.15,105.01
2017-04-12,109.26,112.1,106.54
2017-04-20,109.23,112.07,108.51
2017-04-27,108.97,111.81,108.18
